project_name,address,city,zip,units,sources,owner_operator,contact_email,multi_program_overlap
SCATTERED SITES-II,116 Lawncrest Rd,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,32 Catherine Ave,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
TRUMAN APTS,30 Catherine Ave,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
WELLES VILLAGE,74 Denslow Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
MASTER CONTRACT - CREATIVE CHOICE,1423 Pembroke St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,75 Risley Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
Family Scattered Sites,20 White Oaks Ter,Milford,06461,1,Public_Housing,Milford Redevelopment and Housing Partnership,,No
WELLES VILLAGE,16 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
SCATTERED SITES - III,92 Melrose Dr,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,49 Deming Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
TRUMAN APTS,36 Catherine Ave,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
BOSTON COMMONS,142 Dekalb Ave,Bridgeport,06607,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
Palmer Square,52 Stoneridge Cir,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
MASTER CONTRACT - CREATIVE CHOICE,209 Hallett St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
ST. ANTHONY II,57 Kingswood Dr,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
SCATTERED SITES-II,80 Whittier Rd,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
Greenfield,56 Merrell Ave,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
SCATTERED SITE,1190 Blue Hills Ave,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
WELLES VILLAGE,38 Denslow Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,125 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
ST. ANTHONY II,26 Chamberlain St,New Haven,06512,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,42 Risley Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,5 Webster Ln,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
MASTER CONTRACT - CREATIVE CHOICE,839 Platt St,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES-II,148 Ray Rd,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,36 Birdsey St,Bridgeport,06610,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMAN APTS,368 W Grove St,Waterbury,06710,1,Public_Housing,Waterbury Housing Authority,,No
SCATTERED SITES - III,121 Stuyvesant Ave,New Haven,06512,1,Public_Housing,Housing Authority of the City of New Haven,,No
SCATTERED SITES - III,33 Stuyvesant Ave,New Haven,06512,1,Public_Housing,Housing Authority of the City of New Haven,,No
Scattered Site II,233 Woodland Ave,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
SCATTERED SITE,14 Taft Ave,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
SCATTERED SITES - III,102 Kenny Dr,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
SCATTERED SITES - III,264 Clifton St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
New Communities/Mary Shephard Place,90 Hampton St,Hartford,06120,1,Public_Housing,Housing Authority of the City of Hartford,,No
SCATTERED SITES-II,594 Central Ave,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,7 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
New Communities/Mary Shephard Place,49 Margarita Dr,Hartford,06106,1,Public_Housing,Housing Authority of the City of Hartford,,No
New Communities/Mary Shephard Place,184 Nilan St,Hartford,06106,1,Public_Housing,Housing Authority of the City of Hartford,,No
SCATTERED SITES-II,21 Long Hill Ter,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
SCATTERED SITES - III,147 Burwell St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
Fairgate,11 Fairfield Ave,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
SCATTERED SITES - III,1332 Quinnipiac Ave,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
SCATTERED SITE,43 Marguerite Ave,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
WELLES VILLAGE,16 Risley Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
EDEN DRIVE,18 Dibble St,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
New Communities/Mary Shephard Place,45 Kensington St,Hartford,06120,1,Public_Housing,Housing Authority of the City of Hartford,,No
MASTER CONTRACT - CREATIVE CHOICE,155 Robert St,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES-II,555 Fountain St,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
Brookside Phase II,2 Portland St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
Fairgate,53 Fairgate Dr,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
BOSTON COMMONS,566 N Ridgefield Ave,Bridgeport,06610,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
ST. ANTHONY II,1368 Quinnipiac Ave,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
New Communities/Mary Shephard Place,170 Nilan St,Hartford,06106,1,Public_Housing,Housing Authority of the City of Hartford,,No
MASTER CONTRACT - CREATIVE CHOICE,227 Berkshire Ave,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,76 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
Brookside Phase II,9 Monroe St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,124 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,91 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,66 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
ST. ANTHONY II,59 Kingswood Dr,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
New Communities/Mary Shephard Place,132 Hampton St,Hartford,06120,1,Public_Housing,Housing Authority of the City of Hartford,,No
TRUMAN APTS,56 Bishop St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
BOSTON COMMONS,812 Pembroke St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES-II,145 W Park Ave,New Haven,06511,1,Public_Housing,Housing Authority of the City of New Haven,,No
New Communities/Mary Shephard Place,31 Margarita Dr,Hartford,06106,1,Public_Housing,Housing Authority of the City of Hartford,,No
SCATTERED SITES - III,174 Barnes Ave,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
Palmer Square,8 Rockfield Dr,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
Beckerle and Forest Ave,45 Forest Ave,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
MASTER CONTRACT - CREATIVE CHOICE,81 Lorraine St,Bridgeport,06604,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
HEARTHSTONE APARTMENTS,496 Sedgewick Ave,Stratford,06615,1,Public_Housing,Housing Authority of the Town of Stratford,,No
WELLES VILLAGE,46 Denslow Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
SCATTERED SITES - III,14 Chamberlain St,New Haven,06512,1,Public_Housing,Housing Authority of the City of New Haven,,No
Brookside Phase II,5 Portland St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,40 Catherine Ave,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
TRUMAN APTS,52 Bishop St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
Brookside Phase II,3 Portland St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
BOSTON COMMONS,327 Alba Ave,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
New Communities/Mary Shephard Place,78 Sequin St,Hartford,06106,1,Public_Housing,Housing Authority of the City of Hartford,,No
WELLES VILLAGE,33 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
SCATTERED SITE,54 Darby St,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
SCATTERED SITE,49 Marguerite Ave,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
TRUMAN APTS,370 W Grove St,Waterbury,06710,1,Public_Housing,Waterbury Housing Authority,,No
TRUMAN APTS,64 Bishop St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
Greenfield,68 Merrell Ave,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
Rockview Phase 1 Rental,7 Rock View Cir,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,206 Orange St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
SCATTERED SITE,28 Daniel Blvd,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
MASTER CONTRACT - CREATIVE CHOICE,145 Madison Ave,Bridgeport,06604,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
BOSTON COMMONS,181 Pixlee Pl,Bridgeport,06610,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
BOSTON COMMONS,762 Pembroke St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
AUSTIN RD & S END TURNKY,456 Baldwin St,Waterbury,06706,1,Public_Housing,Waterbury Housing Authority,,No
TRUMAN APTS,218 Orange St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
WELLES VILLAGE,135 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
BOSTON COMMONS,37 Martin Luther King Dr,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMAN APTS,42 Catherine Ave,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
RIVERSIDE APARTMENTS,67 Olson Dr,Ansonia,06401,1,Public_Housing,Housing Authority of the City of Ansonia,,No
New Communities/Mary Shephard Place,78 Hampton St,Hartford,06120,1,Public_Housing,Housing Authority of the City of Hartford,,No
WELLES VILLAGE,7 Denslow Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
MASTER CONTRACT - CREATIVE CHOICE,50 Cedar St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES-II,25 Westerleigh Rd,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,15 Bates Ln,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
ST. ANTHONY II,1370 Quinnipiac Ave,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
LAUREL GARDENS,14 Davis St,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
SCATTERED SITES-II,108 Blake St,New Haven,06511,1,Public_Housing,Housing Authority of the City of New Haven,,No
ST. ANTHONY II,76 Glen Haven Rd,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,13 Bates Ln,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,73 Denslow Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
MASTER CONTRACT - CREATIVE CHOICE,99 Harvey St,Bridgeport,06610,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MCCONAUGHY TERRACE,5 S Genesee St,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
EDEN DRIVE,16 Dibble St,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
Palmer Square,72 Stoneridge Cir,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
LAUREL GARDENS,2 Maple Ridge Rd,Danbury,06811,1,Public_Housing,Housing Authority of the City of Danbury,,No
MASTER CONTRACT - CREATIVE CHOICE,235 Hallett St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,25 Marcel St,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES - III,44 Glen Haven Rd,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
BOSTON COMMONS,774 Pembroke St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
COURT TOWERS,15 Carol Dr,Rockville,06066,1,Public_Housing,Vernon Housing Authority,,No
WELLES VILLAGE,17 Bates Ln,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
BOSTON COMMONS,218 N Bishop Ave,Bridgeport,06610,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
Fairgate,23 Fairfield Ave,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
BOSTON COMMONS,786 Pembroke St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES-II,35 Westbrook Ln,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
Family Scattered Sites,136 Merwin Ave,Milford,06460,1,Public_Housing,Milford Redevelopment and Housing Partnership,,No
MASTER CONTRACT - CREATIVE CHOICE,228 Horace St,Bridgeport,06610,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
CAMBRIDGE PARK,18 Davis Dr,Bristol,06010,1,Public_Housing,Bristol Housing Authority,,No
TRUMAN APTS,62 Bishop St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
WELLES VILLAGE,59 Denslow Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
TRUMAN APTS,372 W Grove St,Waterbury,06710,1,Public_Housing,Waterbury Housing Authority,,No
WELLES VILLAGE,20 Webster Ln,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,4 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
TRUMAN APTS,374 W Grove St,Waterbury,06710,1,Public_Housing,Waterbury Housing Authority,,No
LAUREL GARDENS,53 Abbott Ave,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
AUSTIN RD & S END TURNKY,458 Baldwin St,Waterbury,06706,1,Public_Housing,Waterbury Housing Authority,,No
Fairgate,27 Fairfield Ave,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
Brookside Phase I,4 Catherine St,New Haven,06512,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,42 Denslow Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
MASTER CONTRACT - CREATIVE CHOICE,221 Hallett St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
ST. ANTHONY II,58 Kingswood Dr,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
BOSTON COMMONS,9 Martin Luther King Dr,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
Brookside Phase II,4 Monroe St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,97 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
MASTER CONTRACT - CREATIVE CHOICE,61 Martin Luther King Dr,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
Rockview Phase 1 Rental,38 Rock View Cir,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
"Dept. of Housing, State of Connecticut",505 Hudson St Fl 2,Hartford,06106,0,Section8_Multifamily,"Department of Housing, State of Connecticut",,No
State of Connecticut Department of Housing,505 Hudson St,Hartford,06106,0,Section8_Multifamily,State of Connecticut Department of Housing,,No
1992 Homeownership,49 Midvale Ave,Waterbury,06708,0,Public_Housing,Waterbury Housing Authority,,No
1992 Homeownership,174 Rodney St,Waterbury,06705,0,Public_Housing,Waterbury Housing Authority,,No
1992 Homeownership,118 Wilson St,Waterbury,06708,0,Public_Housing,Waterbury Housing Authority,,No
Brookside Phase I,3 Austin St,New Haven,06515,0,Public_Housing,Housing Authority of the City of New Haven,,No
1992 Homeownership,55 Bishop St,Waterbury,06704,0,Public_Housing,Waterbury Housing Authority,,No
1992 Homeownership,162 Plank Rd,Waterbury,06705,0,Public_Housing,Waterbury Housing Authority,,No
1992 Homeownership,81 Brookview Ave,Waterbury,06706,0,Public_Housing,Waterbury Housing Authority,,No
1992 Homeownership,19 Ivy Ln,Waterbury,06705,0,Public_Housing,Waterbury Housing Authority,,No
Greenfield,20 Merrell Ave,Stamford,06902,0,Public_Housing,Housing Authority of the City of Stamford,,No
1992 Homeownership,37 Midvale Ave,Waterbury,06708,0,Public_Housing,Waterbury Housing Authority,,No
Brookside Phase I,14 Catherine St,New Haven,06512,0,Public_Housing,Housing Authority of the City of New Haven,,No
Greenfield,16 Merrell Ave,Stamford,06902,0,Public_Housing,Housing Authority of the City of Stamford,,No
1992 Homeownership,100 Morton Rd,Waterbury,06705,0,Public_Housing,Waterbury Housing Authority,,No
1992 Homeownership,88 Circular Ave,Waterbury,06705,0,Public_Housing,Waterbury Housing Authority,,No
OAKWOOD KNOLL,45 Oakwood Knls,Norwich,06360,0,Public_Housing,Norwich Housing Authority,,No
Greenfield,12 Merrell Ave,Stamford,06902,0,Public_Housing,Housing Authority of the City of Stamford,,No
